reach,predicted_reach,performance,shares,saves,comments,likes
46476.0,56795.68574269394,Average,279.0,210.0,15.0,1488.0
11355.0,-798.6817215096899,Poor,29.0,35.0,0.0,273.0
51211.0,61408.537211355375,Average,543.0,68.0,34.0,4420.0
16736.0,7705.090034139548,Viral,41.0,53.0,3.0,467.0
8976.0,-2497.203631254863,Poor,38.0,25.0,0.0,240.0
16017.0,32294.804553151866,Poor,156.0,132.0,9.0,994.0
16974.0,17082.39760377981,Average,101.0,86.0,5.0,669.0
14375.0,-1147.3445732660548,Poor,7.0,33.0,0.0,248.0
1496845.0,1053604.0794065264,Good,6408.0,5499.0,104.0,60755.0
15460.0,6865.667661407286,Viral,48.0,82.0,0.0,629.0
7789.0,-2029.0626610564177,Poor,15.0,17.0,1.0,216.0
9336.0,-855.6679027991458,Poor,22.0,35.0,0.0,292.0
14164.0,-1657.8431687609027,Poor,12.0,33.0,0.0,482.0
41021.0,53011.59241938153,Average,223.0,280.0,7.0,1954.0
12544.0,1938.1930906222788,Viral,34.0,50.0,0.0,255.0
7126.0,-4945.4890142576405,Poor,5.0,10.0,0.0,102.0
11143.0,8162.716393538025,Good,24.0,34.0,5.0,420.0
8504.0,20236.833409649527,Poor,89.0,100.0,5.0,367.0
32013.0,16211.043131862993,Excellent,35.0,46.0,8.0,335.0
15951.0,8320.909225859068,Excellent,49.0,25.0,6.0,500.0
127977.0,293789.8365207572,Poor,1173.0,1490.0,27.0,9061.0
6580.0,-4579.405324658721,Poor,3.0,13.0,0.0,177.0
13670.0,20388.102823596804,Average,52.0,41.0,11.0,627.0
5972.0,5222.177292149647,Good,23.0,59.0,1.0,345.0
6632.0,-990.774690788402,Poor,36.0,33.0,0.0,205.0
8747.0,1053.7940574777385,Viral,12.0,24.0,2.0,243.0
7077.0,19473.92835311727,Poor,16.0,10.0,13.0,213.0
7149.0,4593.0899685320455,Excellent,38.0,45.0,2.0,367.0
17196.0,3479.8421261230815,Viral,62.0,21.0,4.0,662.0
6649.0,550.8025567581772,Viral,29.0,32.0,1.0,277.0
10411.0,6554.319765017972,Excellent,42.0,24.0,5.0,355.0
10511.0,555.7704471333327,Viral,25.0,32.0,1.0,271.0
110043.0,143577.88660148732,Average,520.0,769.0,10.0,3444.0
602477.0,411575.9134905451,Good,4474.0,1857.0,55.0,12628.0
6408.0,10678.722025413717,Average,39.0,25.0,7.0,283.0
23088.0,1590.5686251110965,Viral,33.0,44.0,1.0,779.0
12079.0,4762.531878171301,Viral,34.0,12.0,5.0,187.0
36897.0,5514.583094722615,Viral,42.0,77.0,0.0,828.0
